DEPTH,CMSE_lateral,Shmin_lateral
5506,25378.42383,2160.989258
5507,24773.55273,2162.817139
5508,24982.57031,2150.655029
5509,25329.36328,2139.005371
5510,25473.98633,2133.045898
5511,25500.03125,2129.471924
5512,25879.86523,2122.931152
5513,26415.85938,2116.467041
5514,27040.43945,2110.692871
5515,27479.58203,2105.966064
5516,27832.02344,2102.10791
5517,28216.3418,2099.192383
5518,28504.23828,2095.306152
5519,28703.70313,2093.054688
5520,28917.91016,2090.911377
5521,29174.73633,2088.293213
5522,29374.28125,2085.549072
5523,29563.75781,2082.45752
5524,29673.88867,2078.713867
5525,29811.58789,2075.496826
5526,29852.49023,2073.494385
5527,29856.18555,2071.320068
5528,29947.33008,2069.905273
5529,30123.60352,2068.175049
5530,30340.35742,2064.580078
5531,30490.00977,2062.151611
5532,30668.11523,2059.541504
5533,30735.29297,2057.818848
5534,30810.47656,2055.986572
5535,30919.2207,2055.647705
5536,30995.12695,2057.952393
5537,31074.20313,2054.610352
5538,31025.03516,2054.672607
5539,31136.18164,2055.646729
5540,31191.09961,2057.872803
5541,30909.25,2061.682129
5542,31121.97266,2065.718262
5543,31065.1875,2069.579102
5544,30880.83203,2072.611084
5545,30143.46289,2079.717285
5546,29576.1582,2087.227051
5547,29210.60938,2087.485107
5548,29081.625,2085.224609
5549,29010.45313,2083.702393
5550,28914.14648,1981.954224
5551,28823.52148,1989.205688
5552,29062.13672,1994.707031
5553,29367.15625,1995.191162
5554,29532.53711,2001.610718
5555,29037.07813,2006.027588
5556,28545.45898,2008.516724
5557,28210.5,2010.839233
5558,28134.32422,2012.957275
5559,28058.14844,2015.075195
5560,27981.97461,2017.193115
5561,27905.79883,2019.311157
5562,27771.16406,2020.837891
5563,27636.52734,2022.364624
5564,27501.89258,2023.891479
5565,27367.25781,2025.418213
5566,27232.62109,2026.944946
5567,27097.98633,2028.47168
5568,26507.23242,2037.260376
5569,26683.58203,2038.496094
5570,26906.53906,2037.680664
5571,26913.18555,2039.584717
5572,26516.89648,2047.353882
5573,26442.41992,2049.68335
5574,26420.45313,2050.17041
5575,26398.48438,2050.657227
5576,26376.51758,2051.144043
5577,26354.54883,2051.631104
5578,26332.58203,2052.118164
5579,26310.61523,2052.60498
5580,26288.64648,2053.091797
5581,26266.67969,2053.578857
5582,26244.71094,2054.065918
5583,26222.74414,2054.552734
5584,25996.63672,2058.843506
5585,25939.31445,2059.769043
5586,25881.99219,2060.69458
5587,25824.67188,2061.620117
5588,25767.34961,2062.545654
5589,25710.02734,2063.471191
5590,25617.77539,2064.550049
5591,25525.52539,2065.62915
5592,25433.27344,2066.708008
5593,25148.18164,2069.232422
5594,25047.00781,2066.972168
5595,25052.00391,2066.103516
5596,24995.88281,2066.571777
5597,24975.35352,2061.901855
5598,25058.06836,2057.317139
5599,25390.5,2052.374023
5600,25534.46094,2050.094238
5601,25605.74805,2052.412354
